Orden de Prioridad,Nombre del Ambiente,Nombre
1,Muy malo,Amb Lara (Campo Lara (LFH))
2,Malo,Amb Lara (Campo Lara (LFH))
3,Medio,Amb Lara (Campo Lara (LFH))
4,Bueno,Amb Lara (Campo Lara (LFH))
5,Muy Bueno,Amb Lara (Campo Lara (LFH))
1,Malo Mas,NCAmb (Nueva Castilla (2BC))
2,Malo,NCAmb (Nueva Castilla (2BC))
3,Medio,NCAmb (Nueva Castilla (2BC))
4,Bueno,NCAmb (Nueva Castilla (2BC))
5,Excelente,NCAmb (Nueva Castilla (2BC))
1,Muy malo,TestAmb (Campo Test (CT1))
2,Malo,TestAmb (Campo Test (CT1))
3,Maso,TestAmb (Campo Test (CT1))
4,Bueno,TestAmb (Campo Test (CT1))
5,Excelente,TestAmb (Campo Test (CT1))
1,Muy malo,AmbCT2 (Campo Test 2 (CT2))
2,Malo,AmbCT2 (Campo Test 2 (CT2))
3,Maso,AmbCT2 (Campo Test 2 (CT2))
4,Bueno,AmbCT2 (Campo Test 2 (CT2))
5,Excelente,AmbCT2 (Campo Test 2 (CT2))
1,a,Amb Final 1 (Test Final 1 (TF1))
2,b,Amb Final 1 (Test Final 1 (TF1))
3,c,Amb Final 1 (Test Final 1 (TF1))
4,d,Amb Final 1 (Test Final 1 (TF1))
5,e,Amb Final 1 (Test Final 1 (TF1))
1,Prueba,Prueba Ambientes (Campo Lara (LFH))
2,Cambiar,Prueba Ambientes (Campo Lara (LFH))
3,Nombres,Prueba Ambientes (Campo Lara (LFH))
4,En,Prueba Ambientes (Campo Lara (LFH))
5,Grafico,Prueba Ambientes (Campo Lara (LFH))
